"pm2.5","pm10","nox","so2","co","o3"
143,454.75,189.65,NA,NA,NA
175.75,504,222.08,NA,NA,NA
175.5,471.75,111.98,NA,NA,NA
130.25,341.25,85.02,NA,NA,NA
141.5,338,85.4,NA,NA,NA
268,666.75,107.55,NA,NA,NA
288,NA,58.07,NA,NA,NA
83.67,136.5,119.48,NA,NA,NA
143.5,405,177.15,NA,NA,NA
162.25,450,145.32,NA,NA,NA
186.5,453,89.88,NA,NA,NA
144.5,342.25,72.77,NA,NA,NA
60,NA,82,NA,NA,NA
44,NA,62.13,NA,NA,NA
84,NA,70.92,NA,NA,NA
76.33,NA,60.22,NA,NA,NA
21,NA,48.28,NA,NA,NA
22.67,NA,46.27,NA,NA,NA
NA,NA,41.77,NA,NA,NA
NA,NA,51.28,NA,NA,NA
NA,NA,74.65,NA,NA,NA
NA,NA,71.03,NA,NA,NA
NA,NA,88.58,NA,NA,NA
NA,NA,101.15,NA,NA,NA
49.25,NA,122.12,NA,NA,NA
45,NA,88.48,NA,NA,NA
63.75,NA,50.38,NA,NA,NA
134.25,NA,41.27,NA,NA,NA
126.75,NA,32.05,NA,NA,NA
134.5,NA,36.35,NA,NA,NA
161.75,NA,34.75,NA,NA,NA
181,NA,49.7,NA,NA,NA
216,NA,69.12,NA,NA,NA
202.75,NA,56.62,NA,NA,NA
214.25,NA,57.45,NA,NA,NA
215.25,NA,41.1,NA,NA,NA
211,NA,41.93,NA,NA,NA
183.5,NA,65.37,NA,NA,NA
208,NA,51.12,NA,NA,NA
NA,NA,45.4,NA,NA,NA
46.5,94.67,60.07,NA,NA,NA
101,233.5,56.4,NA,NA,NA
99.75,220.75,33.73,NA,NA,NA
103.25,225.25,37.53,NA,NA,NA
98.5,229.5,70.98,NA,NA,NA
121,280.5,149.6,NA,NA,NA
147.75,348.5,137.3,NA,NA,NA
169.25,371,188.95,NA,NA,NA
208.25,NA,175.85,NA,NA,NA
240.5,NA,207.88,NA,NA,NA
229.25,NA,157.65,NA,NA,NA
184.5,390,145.62,NA,NA,NA
174.75,385.75,73.47,NA,NA,NA
155.5,323,75.35,NA,NA,NA
161.75,314.75,88.55,NA,NA,NA
161.75,309.75,107.7,NA,NA,NA
162.75,332.75,119.95,NA,NA,NA
161.75,376.5,114.1,NA,NA,NA
169,397,98.2,NA,NA,NA
156.5,347.75,91.77,NA,NA,NA
123.75,287.25,94.15,NA,NA,NA
138.5,313,73.9,NA,NA,NA
140.5,320.5,35.8,NA,NA,NA
114.25,281.75,28.65,NA,NA,NA
74.75,204,22.2,NA,NA,NA
62.5,190.25,20.05,NA,NA,NA
58,177.25,27.93,NA,NA,NA
46.75,154.25,27.13,NA,NA,NA
62.5,185.25,29.93,NA,NA,NA
78.5,230.75,101.88,NA,NA,NA
158.25,364.67,98.83,NA,NA,NA
181,NA,62.15,NA,NA,NA
136.25,NA,30.4,NA,NA,NA
73.25,350.5,44.8,NA,NA,NA
68.75,274.25,51.18,NA,NA,NA
62,229.75,58.15,NA,NA,NA
56,241.25,46.5,NA,NA,NA
54.25,271,51.95,NA,NA,NA
46.5,270,38.77,NA,NA,NA
54.75,310.5,30.88,NA,NA,NA
51,294,38.45,NA,NA,NA
55.75,292.5,48.4,NA,NA,NA
67.5,308.25,64.97,NA,NA,NA
94,358.75,54.62,NA,NA,NA
126.25,386.5,53.62,NA,NA,NA
133.25,388.25,53.05,NA,NA,NA
136.25,382.25,49.38,NA,NA,NA
159.75,394,54.62,NA,NA,NA
170.25,NA,45.43,NA,NA,NA
173.5,NA,38.05,NA,NA,NA
158,NA,35.93,NA,NA,NA
140.25,393.67,53.1,NA,NA,NA
131.5,398,69.27,NA,NA,NA
121.25,387.75,72.52,NA,NA,NA
115.5,357.75,71.47,NA,NA,NA
117.5,341.5,56.48,NA,NA,NA
132,356.75,39.4,NA,NA,NA
129.5,315.5,31.47,NA,NA,NA
117,263,27.07,NA,NA,NA
117.25,249.5,24.78,NA,NA,NA
119.5,238.25,21.82,NA,NA,NA
123,238.5,16.55,NA,NA,NA
125,242,21.7,NA,NA,NA
127.25,233.75,23.7,NA,NA,NA
129.75,232.25,25.72,NA,NA,NA
124.5,214.5,37.7,NA,NA,NA
NA,NA,28.95,NA,NA,NA
NA,NA,49.35,NA,NA,NA
49,92.33,59.18,NA,NA,NA
116.25,205.75,48.43,NA,NA,NA
114.25,207.75,39.45,NA,NA,NA
114,213.5,49.6,NA,NA,NA
111,212.25,50.9,NA,NA,NA
102.25,203.25,36.43,NA,NA,NA
97.75,197,40,NA,NA,NA
108,219.5,36.03,NA,NA,NA
120.75,238.25,47.37,NA,NA,NA
117,237,53.52,NA,NA,NA
122,248.75,55.75,NA,NA,NA
130.75,256,53.15,NA,NA,NA
145.75,289.5,58.35,NA,NA,NA
145.25,287.25,57.85,NA,NA,NA
144.5,281.75,39.57,NA,NA,NA
133.75,258.5,29.68,NA,NA,NA
96.75,186.25,25.25,NA,NA,NA
103.25,187.25,23.05,NA,NA,NA
99.25,187,22.93,NA,NA,NA
107.75,188.5,22.5,NA,NA,NA
112.75,205.75,17.1,NA,NA,NA
117.5,211.5,20.7,NA,NA,NA
NA,NA,18.6,NA,NA,NA
NA,NA,62.28,NA,NA,NA
NA,NA,54.1,NA,NA,NA
59.33,109,36.73,NA,NA,NA
149.75,275.75,59.85,NA,NA,NA
162.75,306.5,65.95,NA,NA,NA
158.75,297.75,51.43,NA,NA,NA
127.25,242.75,55.67,NA,NA,NA
119.25,223.5,37.58,NA,NA,NA
121,230,51.15,NA,NA,NA
132,252,74.55,NA,NA,NA
133,258.75,73.1,NA,NA,NA
141.5,276,85.12,NA,NA,NA
144.75,284.75,68.73,NA,NA,NA
150,226.5,54.98,NA,NA,NA
171.5,NA,52.13,NA,NA,NA
185.75,NA,59,NA,NA,NA
190.75,NA,50,NA,NA,NA
175.5,NA,46.9,NA,NA,NA
167.5,NA,57.75,NA,NA,NA
182.75,NA,54.8,NA,NA,NA
208.25,NA,43.75,NA,NA,NA
168.25,NA,66.18,NA,NA,NA
166.25,NA,56.45,NA,NA,NA
181.75,NA,75.05,NA,NA,NA
175.5,NA,53.18,NA,NA,NA
100.25,NA,74.97,NA,NA,NA
NA,NA,57.45,NA,NA,NA
NA,NA,50.22,NA,NA,NA
NA,NA,50.72,NA,NA,NA
NA,NA,55.1,NA,NA,NA
37,NA,32.55,NA,NA,NA
130.5,NA,42.68,NA,NA,NA
160,NA,59.6,NA,NA,NA
152.75,NA,83.05,NA,NA,NA
155.75,NA,129.4,NA,NA,NA
158.5,NA,95.78,NA,NA,NA
171,NA,92.38,NA,NA,NA
181.5,NA,74.38,NA,NA,NA
188,NA,64.22,NA,NA,NA
178.75,NA,43,NA,NA,NA
168.25,NA,29.72,NA,NA,NA
139.75,NA,31.43,NA,NA,NA
123,NA,31.17,NA,NA,NA
120.75,NA,27.05,NA,NA,NA
113,NA,35.8,NA,NA,NA
107.25,NA,24.8,NA,NA,NA
123.75,NA,42.2,NA,NA,NA
106.75,NA,47.12,NA,NA,NA
114.75,NA,57.65,NA,NA,NA
129.75,NA,65.47,NA,NA,NA
126.5,NA,63.95,NA,NA,NA
125,NA,56.05,NA,NA,NA
NA,NA,21.62,NA,NA,NA
NA,NA,35.85,NA,NA,NA
NA,NA,59.85,NA,NA,NA
NA,NA,66.83,NA,NA,NA
NA,NA,59.15,NA,NA,NA
NA,NA,75.7,NA,NA,NA
NA,NA,104.5,NA,NA,NA
NA,NA,128.98,NA,NA,NA
NA,NA,142.42,NA,NA,NA
NA,NA,137.38,NA,NA,NA
NA,NA,103.88,NA,NA,NA
NA,NA,97.25,NA,NA,NA
NA,NA,85.37,NA,NA,NA
NA,NA,49.05,NA,NA,NA
NA,NA,50.12,NA,NA,NA
NA,NA,41.87,NA,NA,NA
NA,NA,51.15,NA,NA,NA
NA,NA,92.85,NA,NA,NA
NA,NA,94.23,NA,NA,NA
NA,NA,66.32,NA,NA,NA
NA,NA,56.05,NA,NA,NA
NA,NA,45.52,NA,NA,NA
NA,NA,63.05,NA,NA,NA
NA,NA,69.43,NA,NA,NA
NA,NA,90.5,NA,NA,NA
25,45.5,63.35,NA,NA,NA
NA,NA,26.73,NA,NA,NA
37,68.33,25.72,NA,NA,NA
85.5,155.75,24.72,NA,NA,NA
96.5,171.5,30.3,NA,NA,NA
95.25,178,34.1,NA,NA,NA
99,185,47.78,NA,NA,NA
120,251.75,128.32,NA,NA,NA
147.5,322,128.48,NA,NA,NA
156.25,322.5,99.4,NA,NA,NA
150.75,286.25,68.02,NA,NA,NA
159,283.25,43.35,NA,NA,NA
191.75,315.75,56.05,NA,NA,NA
198.25,322.5,54.75,NA,NA,NA
212.5,324.25,51.43,NA,NA,NA
231.75,350.5,48.82,NA,NA,NA
240,364,58.3,NA,NA,NA
NA,398,52.38,NA,NA,NA
NA,NA,48.42,NA,NA,NA
238.75,NA,35.75,NA,NA,NA
165,357,30.3,NA,NA,NA
125.5,333.25,48.47,NA,NA,NA
103.75,294.75,NA,NA,NA,NA
76.25,240,39.5,NA,NA,NA
53,195.5,31.85,NA,NA,NA
48.25,180.5,30.85,NA,NA,NA
47,181.75,34.28,NA,NA,NA
54,189.25,29.25,NA,NA,NA
55,199.5,49.45,NA,NA,NA
NA,251.33,55.87,NA,NA,NA
NA,276,93.55,NA,NA,NA
NA,354,159.33,NA,NA,NA
NA,399,195.85,NA,NA,NA
NA,NA,237.9,NA,NA,NA
NA,NA,203.08,NA,NA,NA
NA,NA,156.73,NA,NA,NA
NA,NA,72.4,NA,NA,NA
NA,286,94.25,NA,NA,NA
NA,244,95.63,NA,NA,NA
NA,200.67,63.95,NA,NA,NA
NA,297,62.95,NA,NA,NA
NA,306,48.38,NA,NA,NA
NA,303,52.75,NA,NA,NA
NA,340.5,44.55,NA,NA,NA
NA,360,32.1,NA,NA,NA
NA,325.33,31.63,NA,NA,NA
NA,NA,NA,NA,NA,NA
60,180,32.2,NA,NA,NA
NA,54,27.05,NA,NA,NA
NA,21,23.3,NA,NA,NA
NA,39,23.58,NA,NA,NA
NA,44.75,22.5,NA,NA,NA
NA,48,36.73,NA,NA,NA
NA,74,47.57,NA,NA,NA
52.25,189.5,149.1,NA,NA,NA
100.5,290,211.5,NA,NA,NA
134.67,316,266.9,NA,NA,NA
164,369.67,218.37,NA,NA,NA
166,371,163.3,NA,NA,NA
185.67,396,146.5,NA,NA,NA
205.25,NA,129.88,NA,NA,NA
250,NA,90.4,NA,NA,NA
254.5,NA,64.18,NA,NA,NA
224.75,NA,38.9,NA,NA,NA
216.5,NA,54.2,NA,NA,NA
251,NA,84.45,NA,NA,NA
196,132.5,45.02,NA,NA,NA
41,218.5,39.85,NA,NA,NA
99.5,344.25,30.65,NA,NA,NA
105.5,345.75,28.7,NA,NA,NA
NA,NA,24.12,NA,NA,NA
NA,NA,22.45,NA,NA,NA
NA,NA,17.83,NA,NA,NA
209.5,377,17.1,NA,NA,NA
124.67,323.33,18.6,NA,NA,NA
129,353.25,22.23,NA,NA,NA
104.25,330.75,34.62,NA,NA,NA
NA,97,45.53,NA,NA,NA
NA,265,70.9,NA,NA,NA
87,392,34.4,NA,NA,NA
88,364.5,46.45,NA,NA,NA
94.25,350.25,43.75,NA,NA,NA
91.33,336,23.33,NA,NA,NA
86.33,312.67,19.2,NA,NA,NA
88.5,311.75,11.7,NA,NA,NA
94,322.75,10.45,NA,NA,NA
100.67,322,9.77,NA,NA,NA
117.75,335.25,8.02,NA,NA,NA
139.25,365,14,NA,NA,NA
161,371.33,12.52,NA,NA,NA
47,250.5,12.53,NA,NA,NA
NA,200.5,12.27,NA,NA,NA
NA,307.5,15.2,NA,NA,NA
39.33,338.5,12.25,NA,NA,NA
62.75,335,13.95,NA,NA,NA
39.5,275.5,13.4,NA,NA,NA
44.75,241.75,12.1,NA,NA,NA
78.5,295.5,14.35,NA,NA,NA
52,208,16.63,NA,NA,NA
58.5,200.5,16.5,NA,NA,NA
51.5,178.75,17.28,NA,NA,NA
90,236.25,22.6,NA,NA,NA
113,275.5,29.75,NA,NA,NA
129,294,37.6,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
140.33,277.5,86.85,NA,NA,NA
149,268.5,110.75,NA,NA,NA
157,263.33,72.9,NA,NA,NA
NA,NA,54.82,NA,NA,NA
240,365.67,87.35,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
43,161,23.2,NA,NA,NA
53.25,160.25,23.23,NA,NA,NA
48.75,137.5,21.97,NA,NA,NA
43,124.25,19.12,NA,NA,NA
49.5,129.5,17.88,NA,NA,NA
222,285,13.65,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,57.6,NA,NA,NA
NA,NA,56.22,NA,NA,NA
NA,NA,53.33,NA,NA,NA
NA,NA,30.53,NA,NA,NA
NA,NA,22.82,NA,NA,NA
NA,NA,18.5,NA,NA,NA
NA,NA,23.8,NA,NA,NA
NA,397,19.7,NA,NA,NA
NA,NA,16.7,NA,NA,NA
36,76.5,19.1,NA,NA,NA
54.33,175,14.57,NA,NA,NA
57.75,188.75,16.83,NA,NA,NA
53.25,178,22.05,NA,NA,NA
59.75,179.5,24.25,NA,NA,NA
59.75,207.5,25.03,NA,NA,NA
66.33,254,34.87,NA,NA,NA
89,301.67,79.97,NA,NA,NA
105.5,335.25,151.47,NA,NA,NA
133,390.33,102.33,NA,NA,NA
135.33,387,13.97,NA,NA,NA
165,382,54.78,NA,NA,NA
241,NA,51.5,NA,NA,NA
NA,NA,52.77,NA,NA,NA
NA,NA,92.3,NA,NA,NA
212,351,66.77,NA,NA,NA
99,131,79.57,NA,NA,NA
NA,143,101.22,NA,NA,NA
54.5,306.25,81.68,NA,NA,NA
110.25,233.75,46.47,NA,NA,NA
87,280.75,32.95,NA,NA,NA
74.67,310,26.27,NA,NA,NA
97,359.5,28.6,NA,NA,NA
108.67,353.33,24.63,NA,NA,NA
142.75,343.33,18.8,NA,NA,NA
245,NA,16.7,NA,NA,NA
NA,NA,17.88,NA,NA,NA
NA,NA,18.93,NA,NA,NA
NA,397.5,26.27,NA,NA,NA
NA,NA,36.37,NA,NA,NA
NA,NA,13.6,NA,NA,NA
NA,NA,15.13,NA,NA,NA
NA,NA,15.45,NA,NA,NA
NA,389,20.27,NA,NA,NA
NA,388,17.43,NA,NA,NA
NA,NA,23,NA,NA,NA
NA,NA,18.3,NA,NA,NA
NA,NA,16.9,NA,NA,NA
NA,NA,20.35,NA,NA,NA
NA,NA,26.17,NA,NA,NA
NA,NA,34.45,NA,NA,NA
NA,NA,31.7,NA,NA,NA
NA,NA,33.97,NA,NA,NA
NA,NA,27.3,NA,NA,NA
NA,NA,19.7,NA,NA,NA
NA,NA,19.97,NA,NA,NA
NA,NA,23.1,NA,NA,NA
NA,NA,25.9,NA,NA,NA
27.5,92.67,21.5,NA,NA,NA
52.5,245,14.35,NA,NA,NA
51.33,186,16.57,NA,NA,NA
54.5,197,21.3,NA,NA,NA
64,178.5,39.7,NA,NA,NA
70.67,175.67,55.03,NA,NA,NA
78.67,197,50.53,NA,NA,NA
85.25,203.5,61.03,NA,NA,NA
82.5,197.25,72.25,NA,NA,NA
90.75,207.25,87,NA,NA,NA
91.25,220,64.6,NA,NA,NA
90.67,221,43.23,NA,NA,NA
84.67,204.33,35.3,NA,NA,NA
99.25,227.33,12.68,NA,NA,NA
86.67,286,11.73,NA,NA,NA
35,60,16.98,NA,NA,NA
28.75,40.25,24.35,NA,NA,NA
32,NA,41.6,NA,NA,NA
53,50.75,29.65,NA,NA,NA
42.33,50.33,28.1,NA,NA,NA
34.33,47.25,29.65,NA,NA,NA
27.5,178,43.32,NA,NA,NA
49.5,120.75,59.97,NA,NA,NA
55.67,94,38.2,NA,NA,NA
57.75,100.5,36.98,NA,NA,NA
72,117,44.47,NA,NA,NA
70.33,115.33,47,NA,NA,NA
NA,NA,42.62,NA,NA,NA
27,47.5,56.8,NA,NA,NA
66.67,103,81.07,NA,NA,NA
68.5,107.5,91.07,NA,NA,NA
62.33,102.67,67.8,NA,NA,NA
64.5,116.5,60.8,NA,NA,NA
62,112.75,48.12,NA,NA,NA
51.25,94.5,56.23,NA,NA,NA
40.25,64.75,29.65,NA,0,NA
48.5,77.25,49.18,NA,NA,NA
51,91,44.3,NA,NA,NA
46.67,79.67,31.13,NA,NA,NA
52.67,71,23,NA,NA,NA
49,67,28.4,NA,NA,NA
50,62,31.8,NA,NA,NA
39,49.5,48.12,NA,NA,NA
48.67,67,47.2,NA,NA,NA
65.5,83.5,78.9,NA,NA,NA
60,88.75,56.3,NA,NA,NA
62.5,89.75,28.03,NA,NA,NA
63.67,86.67,19.77,NA,NA,NA
56.67,80.33,23.5,NA,NA,NA
43.33,69.67,25.27,NA,NA,NA
51,77,23.47,NA,NA,NA
53.25,90.75,27.08,NA,NA,NA
52.75,95.75,33.38,NA,NA,NA
58.75,106,37,NA,NA,NA
61.5,113,30.53,NA,NA,NA
60.33,114.33,38.7,NA,NA,NA
71.25,131,55.25,NA,NA,NA
80.5,140.25,60.85,NA,NA,NA
91.5,160,71.45,NA,NA,NA
114,180,78.15,NA,NA,NA
112.75,170.75,50.82,NA,NA,NA
108.5,160.5,20.28,NA,NA,NA
77.5,112.25,20.58,NA,NA,NA
61.25,91.75,20.45,NA,NA,NA
58.5,86,30.73,NA,NA,NA
57.75,93,32.7,NA,NA,NA
69,102.5,30.7,NA,NA,NA
61.25,81,33.15,NA,NA,NA
83.75,137.25,25.85,NA,NA,NA
107,180,24.73,NA,NA,NA
113,186,20.55,NA,NA,NA
124.25,237.5,14.15,NA,NA,NA
124.5,246.75,16.28,NA,NA,NA
125,290,16.35,NA,NA,NA
121.5,356.75,16.33,NA,NA,NA
123.75,396,15.45,NA,NA,NA
127.5,387.75,20.72,NA,NA,NA
136.75,382.75,22.43,NA,NA,NA
143,385.5,22.35,NA,NA,NA
141.75,392.5,28.93,NA,NA,NA
172.33,NA,42.03,NA,NA,NA
196.25,NA,51.78,NA,NA,NA
197.5,NA,56.88,NA,NA,NA
187.25,NA,60.08,NA,NA,NA
173.25,378.33,63.52,NA,NA,NA
168.75,358,51.4,NA,NA,NA
170.75,378.5,38.53,NA,NA,NA
141.75,285.75,24.57,NA,NA,NA
107.5,177.75,31.9,NA,NA,NA
111.75,186.75,16.2,NA,NA,NA
116.75,184,48.85,NA,NA,NA
138,199,39.3,NA,NA,NA
112.5,176.5,33.55,NA,NA,NA
109.75,168.5,48.65,NA,NA,NA
99.25,151.5,47.95,NA,NA,NA
110.5,176,29.12,NA,NA,NA
119.75,181.75,25.12,NA,NA,NA
119.25,200,27.53,NA,NA,NA
129,240.5,22.67,NA,NA,NA
132.25,257.5,29.98,NA,NA,NA
135,273.25,35.85,NA,NA,NA
118.25,209.25,55.05,NA,NA,NA
125.75,218.5,68.68,NA,NA,NA
119,209.25,58.73,NA,NA,NA
108.5,189.75,72.85,NA,NA,NA
124,217,76.68,NA,NA,NA
152,256,17.1,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,28.8,NA,NA,NA
16.5,24,28.83,NA,NA,NA
33.25,41.75,38.18,NA,NA,NA
44,53,32.27,NA,NA,NA
45.75,60.25,38.68,NA,NA,NA
45.75,63.75,51.32,NA,NA,NA
48.75,75,69.78,NA,NA,NA
49.75,76.75,70.32,NA,NA,NA
50.75,89.25,79.83,NA,NA,NA
66.75,117,84.52,NA,NA,NA
80.5,122.5,74.58,NA,NA,NA
81.75,131.75,69.95,NA,NA,NA
39.75,59.5,22.85,NA,0,NA
84,115.25,38.48,NA,NA,NA
90.25,104.75,27.1,NA,NA,NA
70.67,80,22.73,NA,NA,NA
52,57.67,17.87,NA,NA,NA
51.67,46.33,24.43,NA,NA,NA
52.67,47,26.33,NA,NA,NA
47.75,49,33,NA,NA,NA
58.75,65.5,38.1,NA,NA,NA
82.33,89,35.27,NA,NA,NA
74,95.5,37.32,NA,NA,NA
80.5,97.25,30.78,NA,NA,NA
77.25,91.5,21.62,NA,NA,NA
57,62,31,NA,NA,NA
56.33,57.33,28.83,NA,NA,NA
46,50.5,19.1,NA,NA,NA
57.67,68.33,21.97,NA,NA,NA
68.33,94.67,21.1,NA,NA,NA
88.5,110.75,25.35,NA,NA,NA
89.75,106.25,26.97,NA,NA,NA
102.67,119.33,61.6,NA,NA,NA
110,140,81.17,NA,NA,NA
128,173.5,114.75,NA,NA,NA
138.67,171.67,135.83,NA,NA,NA
114.5,143.75,117.08,NA,NA,NA
101.25,125,110.05,NA,NA,NA
89.67,113.67,81.17,NA,NA,NA
76.25,92.25,53.25,NA,NA,NA
72.33,87.67,94.27,NA,NA,NA
80.25,96,75.67,NA,NA,NA
70.33,82,68.3,NA,NA,NA
85.67,94.33,43.67,NA,NA,NA
97,106,40.33,NA,NA,NA
95,108.25,36.13,NA,NA,NA
93,109.75,26.25,NA,NA,NA
95.25,131.5,27.55,NA,NA,NA
100.25,134.5,28.75,NA,NA,NA
81.5,107.75,23.88,NA,NA,NA
59,89.5,33.22,NA,NA,NA
68,107.75,36.68,NA,NA,NA
83.25,137.25,26.12,NA,NA,NA
87.5,144.75,33.1,NA,NA,NA
78.75,140.5,21.7,NA,NA,NA
85.33,155,23.17,NA,NA,NA
89.33,160.33,21.67,NA,NA,NA
92.75,167.75,37.7,NA,NA,NA
107.75,184.25,32.53,NA,NA,NA
97.75,171.75,36.65,NA,NA,NA
110.25,188.25,40.8,NA,NA,NA
104.5,185.25,42.63,NA,NA,NA
90.5,157.5,28.72,NA,NA,NA
90.75,156,28.7,NA,NA,NA
102.33,174,18.47,NA,NA,NA
100.25,164.5,23.9,NA,NA,NA
